MM,YYYY,Date,HRS,MIN,Nest_Type,Nest_Disturbance,Y,X
4,2017,4/21/2017,,,Nest,Lost,-3.071257,126.571839
4,2017,4/24/2017,,,Nest,Secure,-3.069232,126.621751
5,2017,5/1/2017,,,Nest,Secure,-3.071943,126.566005
5,2017,5/3/2017,,,False_Crawls,Non_Nesting,-3.069893,126.626427
5,2017,5/4/2017,1,35,Nesting_Individu,Lost,-3.072021,126.565966
5,2017,5/4/2017,,,Nest,Lost,-3.071202,126.571444
5,2017,5/5/2017,2,11,Nesting_Individu,Secure,-3.072203,126.560033
5,2017,5/5/2017,2,48,Nesting_Individu,Secure,-3.072046,126.566713
5,2017,5/5/2017,,,Nest,Lost,-3.072018,126.562603
5,2017,5/6/2017,,,Nest,Secure,-3.065791,126.606588
5,2017,5/13/2017,,,Nest,Lost,-3.07199,126.566102
5,2017,5/14/2017,1,5,Nesting_Individu,Lost,-3.072014,126.564739
5,2017,5/14/2017,,,Nest,Lost,-3.069424,126.623774
5,2017,5/14/2017,,,Nest,Lost,-3.071104,126.572142
5,2017,5/20/2017,,,Nest,Lost,-3.071316,126.570925
5,2017,5/21/2017,,,Nest,Secure,-3.06966,126.623564
5,2017,5/21/2017,,,False_Crawls,Non_Nesting,-3.071941,126.56843
5,2017,5/22/2017,2,0,Nesting_Individu,Lost,-3.070851,126.573284
5,2017,5/22/2017,,,Nest,Lost,-3.070646,126.574922
5,2017,5/22/2017,3,42,False_Crawls,Non_Nesting,-3.071677,126.569907
5,2017,5/24/2017,,,Nest,Secure,-3.07189,126.564067
5,2017,5/24/2017,,,Nest,Secure,-3.069032,126.619297
5,2017,5/25/2017,,,Nest,Secure,-3.069062,126.619662
5,2017,5/25/2017,,,False_Crawls,Non_Nesting,-3.071395,126.571173
5,2017,5/26/2017,,,Nest,Secure,-3.069426,126.622842
5,2017,5/27/2017,,,Nest,Secure,-3.06907,126.617391
5,2017,5/29/2017,,,Nest,Secure,-3.072315,126.54408
